ranking,customer_name,propensity_score,faixa_propensao,percentil_score,recencia_dias,frequencia_pedidos,valor_total_gasto,ticket_medio,data_ultima_compra,segment,market
1,Sharelle Roach,0.8479,Alta Propensão (Foco em Conversão),10,8,24,13005.0,541.88,2014-12-23,Home Office,EU
2,Sibella Parks,0.8341,Alta Propensão (Foco em Conversão),10,16,24,7221.0,300.88,2014-12-15,Corporate,LATAM
3,Robert Barroso,0.8297,Alta Propensão (Foco em Conversão),10,150,25,6256.0,250.24,2014-08-03,Corporate,LATAM
4,Vivian Mathis,0.8218,Alta Propensão (Foco em Conversão),10,8,23,3891.0,169.17,2014-12-23,Consumer,APAC
5,Corinna Mitchell,0.8127,Alta Propensão (Foco em Conversão),10,27,30,15580.0,519.33,2014-12-04,Home Office,EMEA
6,David Bremer,0.8049,Alta Propensão (Foco em Conversão),10,5,20,6275.0,313.75,2014-12-26,Corporate,US
7,Candace McMahon,0.7974,Alta Propensão (Foco em Conversão),10,40,28,14798.0,528.5,2014-11-21,Corporate,LATAM
8,Roland Fjeld,0.7851,Alta Propensão (Foco em Conversão),10,1,26,13090.0,503.46,2014-12-30,Consumer,APAC
9,Sean Braxton,0.7829,Alta Propensão (Foco em Conversão),10,41,27,20514.0,759.78,2014-11-20,Corporate,US
10,Roland Murray,0.7779,Alta Propensão (Foco em Conversão),10,16,26,7403.0,284.73,2014-12-15,Consumer,LATAM
11,Fred McMath,0.7778,Alta Propensão (Foco em Conversão),10,1,27,7441.0,275.59,2014-12-30,Consumer,US
12,Erin Creighton,0.7714,Alta Propensão (Foco em Conversão),10,53,26,6731.0,258.88,2014-11-08,Consumer,LATAM
13,Michael Oakman,0.7672,Alta Propensão (Foco em Conversão),10,6,17,5464.0,321.41,2014-12-25,Consumer,EU
14,Joni Sundaresam,0.7574,Alta Propensão (Foco em Conversão),10,5,28,6809.0,243.18,2014-12-26,Home Office,EMEA
15,Larry Hughes,0.7547,Alta Propensão (Foco em Conversão),10,12,27,8693.0,321.96,2014-12-19,Consumer,LATAM
16,Jack Garza,0.7529,Alta Propensão (Foco em Conversão),10,5,28,15708.0,561.0,2014-12-26,Consumer,LATAM
17,Grant Thornton,0.7427,Alta Propensão (Foco em Conversão),10,9,27,20226.0,749.11,2014-12-22,Corporate,EU
18,Toby Ritter,0.7275,Alta Propensão (Foco em Conversão),10,1,26,12427.0,477.96,2014-12-30,Consumer,APAC
19,Karen Seio,0.7274,Alta Propensão (Foco em Conversão),10,35,25,5325.0,213.0,2014-11-26,Corporate,EU
20,Catherine Glotzbach,0.7249,Alta Propensão (Foco em Conversão),10,21,24,4116.0,171.5,2014-12-10,Home Office,APAC
21,Sean Wendt,0.7184,Alta Propensão (Foco em Conversão),10,12,30,8168.0,272.27,2014-12-19,Home Office,EU
22,Phillina Ober,0.7177,Alta Propensão (Foco em Conversão),10,33,29,19099.0,658.59,2014-11-28,Home Office,Africa
23,David Flashing,0.7154,Alta Propensão (Foco em Conversão),10,9,22,11540.0,524.55,2014-12-22,Consumer,APAC
24,Bill Overfelt,0.7118,Alta Propensão (Foco em Conversão),10,21,26,8093.0,311.27,2014-12-10,Corporate,APAC
25,Henia Zydlo,0.7117,Alta Propensão (Foco em Conversão),10,35,28,12487.0,445.96,2014-11-26,Consumer,EU
26,Don Weiss,0.7093,Alta Propensão (Foco em Conversão),10,12,24,14384.0,599.33,2014-12-19,Consumer,EU
27,Eileen Kiefer,0.7075,Alta Propensão (Foco em Conversão),10,44,23,7124.0,309.74,2014-11-17,Home Office,EU
28,Andy Gerbode,0.706,Alta Propensão (Foco em Conversão),10,12,27,11339.0,419.96,2014-12-19,Corporate,EU
29,Anna Chung,0.7046,Alta Propensão (Foco em Conversão),10,2,25,8932.0,357.28,2014-12-29,Consumer,LATAM
30,Susan Gilcrest,0.7036,Alta Propensão (Foco em Conversão),10,16,28,12686.0,453.07,2014-12-15,Corporate,EU
31,Dianna Arnett,0.703,Alta Propensão (Foco em Conversão),10,13,29,15248.0,525.79,2014-12-18,Home Office,APAC
32,Jessica Myrick,0.702,Alta Propensão (Foco em Conversão),10,14,25,7789.0,311.56,2014-12-17,Consumer,APAC
33,Roy Collins,0.7019,Alta Propensão (Foco em Conversão),10,118,26,7956.0,306.0,2014-09-04,Consumer,LATAM
34,Michael Nguyen,0.6927,Média Propensão (Foco em Nutrição),10,8,27,15047.0,557.3,2014-12-23,Consumer,LATAM
35,Tamara Dahlen,0.6925,Média Propensão (Foco em Nutrição),10,0,28,7704.0,275.14,2014-12-31,Consumer,US
36,Vivek Sundaresam,0.6896,Média Propensão (Foco em Nutrição),10,22,22,11413.0,518.77,2014-12-09,Consumer,APAC
37,Edward Nazzal,0.6894,Média Propensão (Foco em Nutrição),10,14,28,7072.0,252.57,2014-12-17,Consumer,APAC
38,Adrian Shami,0.6884,Média Propensão (Foco em Nutrição),10,41,24,11287.0,470.29,2014-11-20,Home Office,APAC
39,Julie Creighton,0.6874,Média Propensão (Foco em Nutrição),10,57,34,14996.0,441.06,2014-11-04,Corporate,EU
40,Shirley Schmidt,0.6873,Média Propensão (Foco em Nutrição),10,0,22,7903.0,359.23,2014-12-31,Home Office,LATAM
41,Evan Bailliet,0.6813,Média Propensão (Foco em Nutrição),10,19,29,8006.0,276.07,2014-12-12,Consumer,LATAM
42,Matt Hagelstein,0.6808,Média Propensão (Foco em Nutrição),10,23,27,12217.0,452.48,2014-12-08,Corporate,LATAM
43,Allen Goldenen,0.6775,Média Propensão (Foco em Nutrição),10,112,23,8928.0,388.17,2014-09-10,Consumer,LATAM
44,Patrick Jones,0.6772,Média Propensão (Foco em Nutrição),10,39,25,14442.0,577.68,2014-11-22,Corporate,US
45,Luke Foster,0.6751,Média Propensão (Foco em Nutrição),10,22,27,13422.0,497.11,2014-12-09,Consumer,EU
46,Cindy Stewart,0.674,Média Propensão (Foco em Nutrição),10,27,23,13432.0,584.0,2014-12-04,Consumer,LATAM
47,Katherine Ducich,0.6729,Média Propensão (Foco em Nutrição),10,41,21,11696.0,556.95,2014-11-20,Consumer,APAC
48,Duane Noonan,0.6709,Média Propensão (Foco em Nutrição),10,12,29,14915.0,514.31,2014-12-19,Consumer,Africa
